Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
       0  0.00000E+00  0.00000E+000  5.01780E-016  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  4.83245E-001  0.00000E+000  1.44974E-001  4.34921E-001  1.44973E-001  1.44973E-001
       1  0.00000E+00  0.00000E+000  8.19643E-023  6.59804E-017  2.86007E-017 -2.10935E-017 -5.77112E-006  2.99107E-006 -3.75700E-006  4.83548E-009  1.28338E-008  9.46478E-010  3.07141E-009  6.59986E-008  2.80717E-010  8.75096E-007
       2  0.00000E+00  0.00000E+000  8.20620E-023  7.17817E-017  2.67515E-017 -2.16640E-017 -5.79216E-006  3.09668E-006 -3.76888E-006  4.80643E-009  1.26883E-008  9.49011E-010  3.05296E-009  6.68912E-008  2.80278E-010  8.75096E-007
       3  0.00000E+00  0.00000E+000  8.21462E-023  7.73458E-017  2.47185E-017 -2.22089E-017 -5.80842E-006  3.20192E-006 -3.78015E-006  4.77592E-009  1.25362E-008  9.51053E-010  3.03356E-009  6.77560E-008  2.79768E-010  8.22310E-007
       4  0.00000E+00  0.00000E+000  8.22248E-023  8.26730E-017  2.25366E-017 -2.27331E-017 -5.82204E-006  3.30749E-006 -3.79174E-006  4.74487E-009  1.23862E-008  9.52980E-010  3.01382E-009  6.86140E-008  2.79211E-010  7.96678E-007
       5  0.00000E+00  0.00000E+000  8.22957E-023  8.77735E-017  2.02160E-017 -2.32359E-017 -5.83236E-006  3.41305E-006 -3.80336E-006  4.71308E-009  1.22356E-008  9.54639E-010  2.99362E-009  6.94590E-008  2.78572E-010  7.71541E-007
       6  0.00000E+00  0.00000E+000  8.23589E-023  9.26529E-017  1.77712E-017 -2.37159E-017 -5.83936E-006  3.51853E-006 -3.81497E-006  4.68057E-009  1.20843E-008  9.56019E-010  2.97296E-009  7.02904E-008  2.77877E-010  7.46802E-007
       7  0.00000E+00  0.00000E+000  8.24140E-023  9.73171E-017  1.52166E-017 -2.41710E-017 -5.84301E-006  3.62383E-006 -3.82657E-006  4.64738E-009  1.19322E-008  9.57112E-010  2.95186E-009  7.11077E-008  2.77159E-010  7.22352E-007
       8  0.00000E+00  0.00000E+000  8.24612E-023  1.01772E-016  1.25655E-017 -2.45987E-017 -5.84328E-006  3.72886E-006 -3.83815E-006  4.61351E-009  1.17793E-008  9.57916E-010  2.93034E-009  7.19104E-008  2.76431E-010  6.98177E-007
       9  0.00000E+00  0.00000E+000  8.25001E-023  1.06026E-016  9.83065E-018 -2.49970E-017 -5.84017E-006  3.83353E-006 -3.84968E-006  4.57900E-009  1.16255E-008  9.58437E-010  2.90841E-009  7.26979E-008  2.75700E-010  6.74286E-007
      10  0.00000E+00  0.00000E+000  8.25306E-023  1.10083E-016  7.02384E-018 -2.53637E-017 -5.83365E-006  3.93776E-006 -3.86115E-006  4.54386E-009  1.14709E-008  9.58688E-010  2.88609E-009  7.34699E-008  2.75001E-010  6.50705E-007
      11  0.00000E+00  0.00000E+000  8.25527E-023  1.13949E-016  4.15561E-018 -2.56969E-017 -5.82371E-006  4.04145E-006 -3.87255E-006  4.50813E-009  1.13155E-008  9.58698E-010  2.86338E-009  7.42257E-008  2.74376E-010  6.27481E-007
      12  0.00000E+00  0.00000E+000  8.25661E-023  1.17631E-016  1.23493E-018 -2.59951E-017 -5.81037E-006  4.14453E-006 -3.88388E-006  4.47182E-009  1.11594E-008  9.58499E-010  2.84031E-009  7.49651E-008  2.73817E-010  6.04655E-007
      13  0.00000E+00  0.00000E+000  8.25707E-023  1.21131E-016 -1.72937E-018 -2.62567E-017 -5.79361E-006  4.24690E-006 -3.89511E-006  4.43494E-009  1.10027E-008  9.58133E-010  2.81688E-009  7.56875E-008  2.73281E-010  5.82275E-007
      14  0.00000E+00  0.00000E+000  8.25661E-023  1.24453E-016 -4.72974E-018 -2.64800E-017 -5.77346E-006  4.34849E-006 -3.90626E-006  4.39753E-009  1.08453E-008  9.57644E-010  2.79311E-009  7.63924E-008  2.72784E-010  5.60359E-007
      15  0.00000E+00  0.00000E+000  8.25523E-023  1.27599E-016 -7.75975E-018 -2.66637E-017 -5.74991E-006  4.44922E-006 -3.91730E-006  4.35960E-009  1.06873E-008  9.57081E-010  2.76901E-009  7.70795E-008  2.72338E-010  5.38915E-007
      16  0.00000E+00  0.00000E+000  8.25289E-023  1.30571E-016 -1.08135E-017 -2.68066E-017 -5.72300E-006  4.54901E-006 -3.92824E-006  4.32116E-009  1.05290E-008  9.56491E-010  2.74459E-009  7.77482E-008  2.71945E-010  5.18027E-007
      17  0.00000E+00  0.00000E+000  8.24958E-023  1.33368E-016 -1.38849E-017 -2.69074E-017 -5.69274E-006  4.64779E-006 -3.93907E-006  4.28223E-009  1.03702E-008  9.55919E-010  2.71987E-009  7.83982E-008  2.71608E-010  4.97737E-007
      18  0.00000E+00  0.00000E+000  8.24527E-023  1.35993E-016 -1.69681E-017 -2.69653E-017 -5.65915E-006  4.74548E-006 -3.94978E-006  4.24285E-009  1.02111E-008  9.55416E-010  2.69484E-009  7.90289E-008  2.71329E-010  4.78080E-007
      19  0.00000E+00  0.00000E+000  8.23993E-023  1.38445E-016 -2.00573E-017 -2.69794E-017 -5.62226E-006  4.84202E-006 -3.96036E-006  4.20302E-009  1.00518E-008  9.55024E-010  2.66954E-009  7.96400E-008  2.71105E-010  4.59127E-007
      20  0.00000E+00  0.00000E+000  8.23356E-023  1.40726E-016 -2.31467E-017 -2.69496E-017 -5.58210E-006  4.93731E-006 -3.97081E-006  4.16277E-009  9.89228E-009  9.54784E-010  2.64398E-009  8.02309E-008  2.70936E-010  4.40915E-007
      21  0.00000E+00  0.00000E+000  8.22612E-023  1.42836E-016 -2.62306E-017 -2.68749E-017 -5.53871E-006  5.03130E-006 -3.98111E-006  4.12212E-009  9.73273E-009  9.54722E-010  2.61816E-009  8.08014E-008  2.70822E-010  4.23413E-007
      22  0.00000E+00  0.00000E+000  8.21762E-023  1.44775E-016 -2.93030E-017 -2.67549E-017 -5.49212E-006  5.12391E-006 -3.99125E-006  4.08110E-009  9.57318E-009  9.54860E-010  2.59210E-009  8.13510E-008  2.70770E-010  4.06595E-007
